avg_gf,avg_ga,win_rate,form,goals_scored
2.0,0.0,0.667,0.778,1
0.75,0.75,0.5,0.5,0
1.0,1.667,0.333,0.333,3
1.0,1.75,0.25,0.25,0
1.667,0.333,0.667,0.778,4
0.333,1.0,0.333,0.444,1
1.0,0.75,0.25,0.333,1
1.0,2.25,0.25,0.25,0
0.5,1.75,0.25,0.333,0
1.5,1.25,0.5,0.5,1
2.25,0.5,0.75,0.833,1
0.75,0.25,0.25,0.5,0
0.5,1.0,0.25,0.25,3
1.25,1.5,0.5,0.5,0
0.333,2.333,0.0,0.111,0
1.333,0.0,0.667,0.778,1
1.25,1.5,0.5,0.5,3
0.25,2.0,0.0,0.083,0
0.75,2.0,0.25,0.25,1
1.25,0.5,0.5,0.5,2
0.0,0.333,0.0,0.222,0
0.0,2.333,0.0,0.0,0
1.667,0.0,1.0,1.0,0
1.667,0.333,0.667,0.778,0
1.5,0.5,0.75,0.75,0
0.667,0.667,0.333,0.444,2
1.0,0.5,0.5,0.583,1
1.25,0.25,0.5,0.667,1
0.0,1.75,0.0,0.083,0
0.25,2.75,0.0,0.0,1
1.5,0.5,0.75,0.75,1
1.25,0.0,0.75,0.833,2
0.0,0.333,0.0,0.222,0
1.667,0.667,0.667,0.667,1
0.333,2.0,0.0,0.0,4
2.333,1.0,0.667,0.667,1
2.0,1.75,0.5,0.5,2
1.25,1.0,0.5,0.5,3
0.5,2.0,0.25,0.25,4
1.25,1.75,0.25,0.25,1
1.0,0.25,0.75,0.833,1
0.0,0.667,0.0,0.111,0
1.5,0.5,0.5,0.667,4
0.0,0.667,0.0,0.111,0
2.0,0.333,1.0,1.0,1
1.333,0.333,0.667,0.778,1
1.5,0.25,0.5,0.667,4
1.25,1.5,0.5,0.5,0
1.25,1.25,0.5,0.5,1
1.75,0.5,0.75,0.833,0
0.0,0.75,0.0,0.083,3
1.5,2.5,0.25,0.25,0
0.0,1.667,0.0,0.111,3
1.333,0.667,0.333,0.556,1
1.0,0.25,0.75,0.833,3
2.0,2.333,0.333,0.333,0
1.0,0.75,0.5,0.583,2
0.75,1.5,0.25,0.333,0
1.5,2.5,0.25,0.25,0
0.75,0.5,0.25,0.333,1
1.0,3.333,0.0,0.0,0
2.25,0.25,0.5,0.667,4
1.25,1.25,0.25,0.417,1
1.5,0.25,0.75,0.833,1
1.0,2.5,0.25,0.25,0
2.0,0.333,1.0,1.0,2
0.0,0.0,0.0,0.333,2
0.0,0.0,0.0,0.333,2
1.0,1.0,0.0,0.333,2
2.0,0.0,1.0,1.0,0
1.0,0.0,1.0,1.0,3
0.0,2.0,0.0,0.0,0
0.0,1.0,0.0,0.0,3
2.0,0.0,1.0,1.0,0
2.0,3.0,0.0,0.0,2
0.0,3.0,0.0,0.0,2
4.0,1.0,1.0,1.0,3
